,Time (s),Row x Col
91x5,0.042614,455
24x19,0.007338,456
38x12,0.01066,456
57x8,0.019198,456
76x6,0.031534,456
27x17,0.007607,459
51x9,0.016357,459
23x20,0.007495,460
46x10,0.013834,460
92x5,0.043902,460
22x21,0.007746,462
33x14,0.009083,462
42x11,0.012566,462
66x7,0.024814,462
77x6,0.032888,462
29x16,0.008215,464
58x8,0.0203,464
31x15,0.008506,465
93x5,0.045462,465
26x18,0.007729,468
36x13,0.010121,468
39x12,0.011471,468
52x9,0.017444,468
78x6,0.033758,468
67x7,0.025826,469
47x10,0.014709,470
94x5,0.046771,470
59x8,0.02119,472
43x11,0.013002,473
79x6,0.034583,474
25x19,0.007856,475
95x5,0.047928,475
28x17,0.008101,476
34x14,0.00967,476
68x7,0.027185,476
53x9,0.018143,477
24x20,0.008028,480
30x16,0.00868,480
32x15,0.009078,480
40x12,0.012025,480
48x10,0.015517,480
60x8,0.022122,480
80x6,0.035921,480
96x5,0.049379,480
37x13,0.011122,481
23x21,0.008187,483
69x7,0.028447,483
44x11,0.014169,484
97x5,0.050778,485
27x18,0.008294,486
54x9,0.018958,486
81x6,0.037404,486
61x8,0.023141,488
35x14,0.010319,490
49x10,0.016263,490
70x7,0.029048,490
98x5,0.05233,490
41x12,0.012697,492
82x6,0.038332,492
29x17,0.008724,493
26x19,0.008444,494
38x13,0.012231,494
33x15,0.009808,495
45x11,0.014758,495
55x9,0.019869,495
99x5,0.054176,495
31x16,0.009288,496
62x8,0.024255,496
71x7,0.030319,497
83x6,0.039663,498
25x20,0.008618,500
50x10,0.017383,500
100x5,0.055353,500
24x21,0.008839,504
28x18,0.008935,504
36x14,0.010995,504
42x12,0.013643,504
56x9,0.020741,504
63x8,0.025258,504
72x7,0.031564,504
84x6,0.041246,504
101x5,0.056655,505
23x22,0.009042,506
46x11,0.01547,506
39x13,0.012463,507
30x17,0.009428,510
34x15,0.010561,510
51x10,0.018175,510
85x6,0.042371,510
102x5,0.058422,510
73x7,0.032979,511
32x16,0.009927,512
64x8,0.026122,512
27x19,0.009078,513
57x9,0.021728,513
103x5,0.059901,515
43x12,0.014284,516
86x6,0.04367,516
47x11,0.0163,517
37x14,0.011889,518
74x7,0.034013,518
26x20,0.009188,520
40x13,0.013133,520
52x10,0.019165,520
65x8,0.027169,520
104x5,0.061802,520
29x18,0.009722,522
58x9,0.022889,522
87x6,0.045421,522
25x21,0.009493,525
35x15,0.011263,525
75x7,0.035176,525
31x17,0.010087,527
24x22,0.009648,528
33x16,0.010713,528
44x12,0.015383,528
48x11,0.017116,528
66x8,0.028541,528
88x6,0.046561,528
53x10,0.020184,530
59x9,0.023893,531
28x19,0.00972,532
38x14,0.012965,532
76x7,0.036845,532
41x13,0.013835,533
89x6,0.048492,534
67x8,0.029706,536
49x11,0.018202,539
77x7,0.038091,539
27x20,0.009827,540
30x18,0.010241,540
36x15,0.012038,540
45x12,0.016712,540
54x10,0.02114,540
60x9,0.025084,540
90x6,0.049545,540
32x17,0.010793,544
34x16,0.011483,544
68x8,0.030792,544
26x21,0.010483,546
39x14,0.013547,546
42x13,0.014783,546
78x7,0.039646,546
91x6,0.051436,546
61x9,0.026128,549
25x22,0.010428,550
50x11,0.019155,550
55x10,0.022123,550
29x19,0.010416,551
24x23,0.010525,552
46x12,0.017096,552
69x8,0.032242,552
92x6,0.052796,552
79x7,0.040436,553
37x15,0.013031,555
31x18,0.011666,558
62x9,0.027655,558
93x6,0.054555,558
43x13,0.015565,559
28x20,0.010526,560
35x16,0.012293,560
40x14,0.01428,560
56x10,0.023215,560
70x8,0.033337,560
80x7,0.041883,560
33x17,0.011623,561
51x11,0.020292,561
